DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD= Rt,RESM,SP,TENS,,porosity,log rt,calculated log rt,,,
330.0984,20,20.0464,2.2072,0.0284621,104.7545,59.0007,0.374499,32.5791,30.2278,50.2,226.7962,0.4428,0.268363636,1.512939083,-2.841407829,,,
330.2508,20,20.0895,2.2077,0.0273063,110.8035,60.0181,0.372668,32.8328,30.2069,50.2,226.7962,0.4423,0.268060606,1.516307921,-2.84337052,,,
330.4032,20,20.1327,2.2082,0.0261504,116.8524,61.0355,0.370838,33.0866,30.1861,50.2,226.7962,0.4418,0.267757576,1.519652141,-2.845335431,,,
330.5556,20,20.1673,2.2043,0.0233095,122.6361,61.3027,0.371987,33.2221,30.1667,50.2,226.8174,0.4457,0.270121212,1.521427081,-2.830067741,,,
330.708,20,20.187,2.1927,0.0175349,127.9579,60.264,0.378324,33.1518,30.15,50.2,226.8754,0.4573,0.277151515,1.520507114,-2.785433472,,,
330.8604,20,20.2068,2.1812,0.0117603,133.2797,59.2252,0.38466,33.0814,30.1332,50.2,226.9335,0.4688,0.284121212,1.519583881,-2.742287866,,,
331.0128,20,20.2308,2.1712,0.0066115,138.0633,58.4631,0.389669,33.0137,30.1019,50.1957,226.9818,0.4788,0.290181818,1.5186942,-2.705621711,,,
331.1652,20,20.3007,2.1791,0.0082872,136.977,60.7187,0.38019,32.9744,29.9114,50.1452,226.9237,0.4709,0.285393939,1.518176902,-2.734523516,,,
331.3176,20,20.3707,2.187,0.009963,135.8907,62.9742,0.370712,32.9352,29.7208,50.0948,226.8657,0.463,0.280606061,1.517660305,-2.763914314,,,
331.47,20,20.4407,2.1949,0.0116387,134.8044,65.2297,0.361233,32.8959,29.5303,50.0443,226.8076,0.4551,0.275818182,1.517141773,-2.793810936,,,
331.6224,20,20.3781,2.1982,0.0158147,136.2331,66.1138,0.361219,32.9275,29.4895,49.8578,226.7962,0.4518,0.273818182,1.517558758,-2.806453371,,,
331.7748,20,20.2832,2.2005,0.0206033,138.2782,66.6617,0.363525,32.9765,29.4853,49.6379,226.7962,0.4495,0.272424242,1.518204559,-2.815319493,,,
331.9272,20,20.1882,2.2027,0.025392,140.3233,67.2096,0.365831,33.0254,29.4811,49.418,226.7962,0.4473,0.271090909,1.518848086,-2.823842685,,,
332.0796,20,20.1272,2.2001,0.0263931,140.3768,67.0769,0.369699,33.2169,29.5091,49.2838,226.709,0.4499,0.272666667,1.521359099,-2.813774305,,,
332.232,20,20.0973,2.193,0.0239303,138.6089,66.3217,0.374997,33.5387,29.5664,49.228,226.5421,0.457,0.276969697,1.525546225,-2.786573477,,,
332.3844,20,20.0673,2.1858,0.0214674,136.841,65.5666,0.380294,33.8604,29.6237,49.1722,226.3752,0.4642,0.281333333,1.529692084,-2.759417733,,,
332.5368,20,20.0233,2.1788,0.0199219,135.7385,64.8513,0.384858,34.1323,29.7287,49.149,226.2889,0.4712,0.285575758,1.533165554,-2.733417151,,,
332.6892,20,19.9349,2.1721,0.0212582,136.7261,64.2614,0.387118,34.2476,29.9832,49.2284,226.4558,0.4779,0.289636364,1.534630142,-2.708890156,,,
332.8416,20,19.8465,2.1653,0.0225945,137.7137,63.6715,0.389379,34.3628,30.2377,49.3078,226.6227,0.4847,0.293757576,1.536088544,-2.684346199,,,
332.994,20,19.7581,2.1586,0.0239309,138.7013,63.0815,0.391639,34.478,30.4922,49.3872,226.7896,0.4914,0.297818182,1.537542065,-2.660497669,,,
333.1464,20,19.6955,2.1595,0.0288106,138.3522,62.0845,0.392462,34.595,30.494,49.3931,226.7962,0.4905,0.297272727,1.539013335,-2.663682231,,,
333.2988,20,19.634,2.1606,0.0338356,137.9483,61.0707,0.393227,34.7122,30.4855,49.396,226.7962,0.4894,0.296606061,1.540482139,-2.667582418,,,
333.4512,20,19.5725,2.1618,0.0388606,137.5444,60.0569,0.393991,34.8293,30.477,49.399,226.7962,0.4882,0.295878788,1.541944746,-2.671847177,,,
333.6036,20,19.5326,2.1584,0.0376693,137.5464,59.106,0.394523,34.8622,30.5653,49.3999,227.2661,0.4916,0.297939394,1.54235479,-2.659790781,,,
333.756,20,19.5028,2.1528,0.0335497,137.7397,58.1848,0.394946,34.8555,30.6994,49.3999,227.9574,0.4972,0.301333333,1.542271317,-2.640113798,,,
333.9084,20,19.4731,2.1471,0.0294302,137.933,57.2636,0.39537,34.8487,30.8334,49.3999,228.6487,0.5029,0.304787879,1.542186582,-2.620311735,,,
334.0608,20,19.4537,2.145,0.0266533,137.634,57.7797,0.39163,34.61,30.7492,49.3999,228.7884,0.505,0.306060606,1.539201599,-2.613072765,,,
334.2132,20,19.4501,2.148,0.0258989,136.5933,60.4612,0.381617,34.0217,30.336,49.3999,228.0971,0.502,0.304242424,1.531756011,-2.623423409,,,
334.3656,20,19.4464,2.151,0.0251446,135.5526,63.1428,0.371604,33.4335,29.9229,49.3999,227.4058,0.499,0.302424242,1.524181843,-2.633836095,,,
334.518,20,19.434,2.1534,0.025096,134.9003,65.5479,0.36162,32.9154,29.5551,49.3932,226.7962,0.4966,0.300969697,1.517399137,-2.642211417,,,
334.6704,20,19.3557,2.1512,0.0303163,137.1479,65.8884,0.351855,32.9213,29.5261,49.3364,226.7962,0.4988,0.30230303,1.517476976,-2.634532498,,,
334.8228,20,19.2774,2.149,0.0355366,139.3955,66.2289,0.34209,32.9271,29.4971,49.2796,226.7962,0.501,0.303636364,1.517553483,-2.626887374,,,
334.9752,20,19.1992,2.1468,0.040757,141.6431,66.5694,0.332325,32.933,29.4681,49.2228,226.7962,0.5032,0.304969697,1.517631294,-2.619275748,,,
335.1276,20,19.1485,2.1492,0.0355026,140.3478,66.4146,0.337633,33.2174,29.4903,49.1384,226.4741,0.5008,0.303515152,1.521365636,-2.627580997,,,
335.28,20,19.1031,2.1524,0.0282123,138.3639,66.1634,0.345872,33.556,29.5224,49.0485,226.0895,0.4976,0.301575758,1.525770186,-2.638716791,,,
335.4324,20,19.0578,2.1557,0.0209221,136.38,65.9123,0.35411,33.8945,29.5545,48.9587,225.7048,0.4943,0.299575758,1.530129232,-2.650275836,,,
335.5848,20,19.0022,2.161,0.0178301,136.0629,65.3576,0.359857,34.1124,29.7343,48.9099,225.7483,0.489,0.296363636,1.532912276,-2.669002841,,,
335.7372,20,18.9383,2.1679,0.0180848,137.0745,64.5611,0.363619,34.2341,30.0317,48.8938,226.1329,0.4821,0.292181818,1.534458915,-2.693689752,,,
335.8896,20,18.8745,2.1748,0.0183395,138.0861,63.7645,0.367381,34.3559,30.3291,48.8777,226.5175,0.4752,0.288,1.53600133,-2.71873255,,,
336.042,20,18.8168,2.1792,0.0180784,138.6977,62.9245,0.378803,34.4798,30.5411,48.8756,226.7962,0.4708,0.285333333,1.537564738,-2.734892461,,,
336.1944,20,18.7753,2.1767,0.0164616,138.2578,61.9704,0.410363,34.6095,30.5287,48.9103,226.7962,0.4733,0.286848485,1.539195325,-2.72569226,,,
336.3468,20,18.7337,2.1743,0.0148448,137.8179,61.0162,0.441923,34.7392,30.5164,48.9449,226.7962,0.4757,0.28830303,1.540819813,-2.716905672,,,
336.4992,20,18.6922,2.1719,0.013228,137.378,60.0621,0.473483,34.8689,30.504,48.9796,226.7962,0.4781,0.289757576,1.542438247,-2.708163303,,,
336.6516,20,18.7164,2.1732,0.0359422,137.6515,58.711,0.478931,34.8531,30.6192,48.936,227.4838,0.4768,0.288969697,1.542241412,-2.712893291,,,
